Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num,Alvo_Sucesso,Empresa_Cod,Pais_Cod,Probabilidade_Sucesso,Probabilidade_Falha,Previsao_IA_Status
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2009,4.0,20.0,1.0,PSLV-CA,RISAT-2 & ANUSAT,India,3,1,1,23.0,4.0,0.9402395559545346,0.05976044404546547,1
KCST,StatusRetired,123.0,Failure,North Korea,Tonghae Satellite Launching Ground,2009,4.0,5.0,2.0,Unha-2,Kwangmyngsng-2,North Korea,0,0,0,26.0,12.0,0.514763954911588,0.485236045088412,1
ULA,StatusActive,123.0,Success,USA,Florida,2009,4.0,4.0,0.0,Atlas V 421,WGS-2,United States,3,1,1,48.0,16.0,0.9701816896870148,0.029818310312985218,1
ULA,StatusRetired,123.0,Success,USA,Florida,2009,3.0,24.0,8.0,Delta II 7925,GPS IIRM-7,United States,3,0,1,48.0,16.0,0.9021979167065625,0.09780208329343801,1
Eurockot,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2009,3.0,17.0,14.0,Rokot/Briz KM,GOCE,Russia,3,0,1,14.0,13.0,0.6166143845405865,0.3833856154594133,1
NASA,StatusRetired,450.0,Success,USA,Florida,2009,3.0,15.0,23.0,Space Shuttle Discovery,STS-119,United States,3,0,1,35.0,16.0,0.941316141925633,0.05868385807436711,1
ULA,StatusRetired,123.0,Success,USA,Florida,2009,3.0,7.0,3.0,Delta II 7925-10L,Kepler,United States,3,0,1,48.0,16.0,0.9433308121421214,0.05666918785787857,1
Land Launch,StatusActive,123.0,Success,Kazakhstan,Baikonur Cosmodrome,2009,2.0,26.0,8.0,Zenit-3 SLB,Telstar-11N,Kazakhstan,3,1,1,29.0,9.0,0.7999071418726734,0.20009285812732633,1
Northrop,StatusActive,45.0,Failure,USA,California,2009,2.0,24.0,9.0,Minotaur C (Taurus),Orbiting Carbon Observatory,United States,0,1,0,36.0,16.0,0.3757622565637902,0.6242377434362099,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2009,2.0,12.0,22.0,Ariane 5 ECA,"Hot Bird 10, NSS-9, Spirale-A & B",France,3,1,1,3.0,3.0,0.9187891599732986,0.08121084002670147,1
ULA,StatusRetired,123.0,Success,USA,California,2009,2.0,6.0,10.0,Delta II 7320-10C,NOAA-N Prime,United States,3,0,1,48.0,16.0,0.8992353424109948,0.10076465758900542,1
ISA,StatusRetired,123.0,Success,Iran,Semnan Space Center,2009,1.0,,11.0,Safir-1,Omid,Iran,3,0,1,21.0,6.0,0.6142234998566302,0.38577650014336984,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2009,1.0,30.0,13.0,Tsyklon-3,Koronas Foton,Russia,3,0,1,52.0,13.0,0.5919558669793055,0.40804413302069414,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2009,1.0,23.0,3.0,H-IIA 202,"Ibuki, Maido 1 & Others",Japan,3,1,1,32.0,8.0,0.9447866442098175,0.05521335579018252,1
ULA,StatusActive,350.0,Success,USA,Florida,2009,1.0,18.0,2.0,Delta IV Heavy,NROL-26,United States,3,1,1,48.0,16.0,0.9783074126731318,0.021692587326868254,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2008,12.0,20.0,22.0,Ariane 5 ECA,Hot Bird 9 & Eutelsat W2M,France,3,1,1,3.0,3.0,0.9336511593099411,0.06634884069005884,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2008,12.0,2.0,4.0,Molniya-M /Block 2BL,Cosmos 2446,Russia,3,0,1,52.0,13.0,0.8532248886527789,0.14677511134722107,1
NASA,StatusRetired,450.0,Success,USA,Florida,2008,11.0,15.0,0.0,Space Shuttle Endeavour,STS-126,United States,3,0,1,35.0,16.0,0.9803877200343737,0.0196122799656261,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2008,11.0,5.0,0.0,Long March 2D,Shiyan-3 & Chuangxin-1(02),China,3,1,1,7.0,2.0,0.9482802357351704,0.051719764264829715,1
CASC,StatusActive,29.75,Success,China,Jiuquan Satellite Launch Center,2008,11.0,5.0,0.0,Long March 2D,Shiyan-3 & Chuangxin-1(02),China,3,1,1,7.0,2.0,0.9482802357351704,0.051719764264829715,1
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2008,10.0,29.0,16.0,Long March 3B/E,VENESAT 1,China,3,1,1,7.0,2.0,0.9048242167116346,0.09517578328836529,1
ULA,StatusRetired,123.0,Success,USA,California,2008,10.0,25.0,2.0,Delta II 7420-10C,COSMO-3,United States,3,0,1,48.0,16.0,0.9085093367421403,0.0914906632578599,1
CASC,StatusActive,64.68,Success,China,Taiyuan Satellite Launch Center,2008,10.0,25.0,1.0,Long March 4B,Shijian-6E & F,China,3,1,1,7.0,2.0,0.9543272198034072,0.045672780196593,1
