Tipo_Combustivel,Ano,Pais_Lancamento,Nome_Satellites_Carga,Dia,Probabilidade_Falha_IA,Status_do_Foguete,Idade_da_Empresa,Nome_da_Empresa,Capacidade_Maxima_LEO_KG,Foguete_Reutilizavel,Peso_Real_da_Carga_KG,Status_da_Missao,Previsao_IA_Status,Mes,Regiao_Lancamento,Tipo_de_Missao,Probabilidade_Sucesso_IA,Hora,Custo_da_Missao,Setor_da_Empresa,Orbita_Destino,Modelo_Foguete,Latitude,Longitude
Não Informado,1998,Usa,STS-90,17,0.0600141189207949,StatusRetired,40.0,NASA,0.0,0,0.0,Success,1,4,Florida,Não Informado,0.9399858810792048,18.0,450.0,Civil,Não Informado,Space Shuttle Columbia,28.56,-80.58
Lox/Lh2,1998,Usa,TRACE,2,0.3078366842806831,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,4,California,Não Informado,0.6921633157193166,16.0,40.0,Não Informado,Não Informado,Pegasus XL,34.63,-120.61
Não Informado,1998,Usa,MS-8,30,0.0391448254986348,StatusRetired,-8.0,Boeing,0.0,0,0.0,Success,1,3,California,Não Informado,0.9608551745013652,6.0,164.0,Commercial,Não Informado,Delta II 7920-10C,34.63,-120.61
Lox/Rp-1,1998,China,Iridium 51 & 61,25,0.2122250873138885,StatusActive,42.0,CASC,1746.0,0,0.0,Success,1,3,Taiyuan Satellite Launch Center,Não Informado,0.7877749126861113,17.0,30.8,Commercial,Não Informado,Long March 2C,38.84,111.6
Não Informado,1998,France,SPOT-4,24,0.0651714882305461,StatusRetired,18.0,Arianespace,0.0,0,0.0,Success,1,3,French Guiana,Não Informado,0.9348285117694538,1.0,200.0,Commercial,Não Informado,Ariane 40,5.24,-52.77
Não Informado,1998,Usa,UHF F8,16,0.491941855647345,StatusRetired,-8.0,Lockheed,0.0,0,0.0,Success,1,3,Florida,Não Informado,0.5080581443526548,21.0,35.0,Commercial,Não Informado,Atlas II,28.56,-80.58
Não Informado,1998,Usa,Intelsat 806,28,0.0306592453949303,StatusRetired,6.0,ILS,0.0,0,0.0,Success,1,2,Florida,Não Informado,0.9693407546050696,0.0,109.0,Civil,Não Informado,Atlas IIAS,28.56,-80.58
Não Informado,1998,France,Hot Bird 4,27,0.3191899362450129,StatusRetired,18.0,Arianespace,0.0,0,0.0,Success,1,2,French Guiana,Não Informado,0.6808100637549871,22.0,200.0,Commercial,Não Informado,Ariane 42P,5.24,-52.77
Lox/Lh2,1998,Usa,SNOE & BATSAT,26,0.1243160396318097,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,2,Virginia,Não Informado,0.8756839603681903,7.0,40.0,Não Informado,Não Informado,Pegasus XL,37.83,-75.48
N2O4/Udmh,1998,Japan,Kakehashi,21,0.5085189673651573,StatusRetired,-5.0,MHI,2721.0,0,1518.0,Partial Failure,0,2,Tanegashima Space Center,Military Reconnaissance,0.4914810326348428,7.0,90.0,Civil,Sso,H-II,30.4,130.97
Não Informado,1998,Usa,MS-7,18,0.032303216519553,StatusRetired,-8.0,Boeing,0.0,0,0.0,Success,1,2,California,Não Informado,0.9676967834804472,13.0,164.0,Commercial,Não Informado,Delta II 7920-10C,34.63,-120.61
Não Informado,1998,Usa,Globalstar-1,14,0.0319657256904994,StatusRetired,-8.0,Boeing,0.0,0,0.0,Success,1,2,Florida,Não Informado,0.9680342743095006,14.0,164.0,Commercial,Não Informado,Delta II 7420-10C,28.56,-80.58
Não Informado,1998,Usa,GFO & Orbcomm 11 and 12,10,0.4892770001800729,StatusActive,-3.0,Northrop,0.0,0,0.0,Success,1,2,California,Não Informado,0.5107229998199271,13.0,45.0,Não Informado,Não Informado,Minotaur C (Taurus),34.63,-120.61
Não Informado,1998,France,"Brasilsat B3, Inmarsat-3 F5",4,0.1843297161751532,StatusRetired,18.0,Arianespace,0.0,0,0.0,Success,1,2,French Guiana,Não Informado,0.8156702838248466,23.0,200.0,Commercial,Não Informado,Ariane 44LP,5.24,-52.77
Não Informado,1998,Usa,NROL-5/SDS,29,0.4926968411972229,StatusRetired,-8.0,Lockheed,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.5073031588027771,18.0,35.0,Commercial,Não Informado,Atlas IIA,28.56,-80.58
N2O4/Udmh,1998,Israel,Ofek-4,1,0.842485819278078,StatusRetired,45.0,IAI,72.0,0,0.0,Failure,0,1,Palmachim Airbase,Não Informado,0.1575141807219218,11.0,99.5,Military,Não Informado,Shavit,31.9,34.69
Não Informado,1998,Usa,STS-89,22,0.0387102604248107,StatusRetired,40.0,NASA,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.9612897395751892,2.0,450.0,Civil,Não Informado,Space Shuttle Endeavour,28.56,-80.58
Não Informado,1998,Usa,Skynet 4D,10,0.0800534708190408,StatusRetired,-8.0,Boeing,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.9199465291809588,0.0,164.0,Commercial,Não Informado,Delta II 7925,28.56,-80.58
Não Informado,1998,Usa,Lunar Prospector,7,0.065014464170885,StatusRetired,-8.0,Lockheed,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.9349855358291148,2.0,35.0,Commercial,Não Informado,Athena II,28.56,-80.58
