Tipo_Combustivel,Ano,Pais_Lancamento,Nome_Satellites_Carga,Dia,Probabilidade_Falha_IA,Status_do_Foguete,Idade_da_Empresa,Nome_da_Empresa,Capacidade_Maxima_LEO_KG,Foguete_Reutilizavel,Peso_Real_da_Carga_KG,Status_da_Missao,Previsao_IA_Status,Mes,Regiao_Lancamento,Tipo_de_Missao,Probabilidade_Sucesso_IA,Hora,Custo_da_Missao,Setor_da_Empresa,Orbita_Destino,Modelo_Foguete,Latitude,Longitude
Não Informado,2020,Usa,Starlink V1 L9 & BlackSky,7,0.0576833059222148,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,8,Florida,Não Informado,0.9423166940777854,5.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Lh2,2020,China,Gaofen-9 04 & Q-SAT,6,0.20702431068591,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,8,Jiuquan Satellite Launch Center,Não Informado,0.7929756893140898,4.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Não Informado,2020,Usa,150 Meter Hop,4,0.0441657785778956,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,8,Texas,Não Informado,0.9558342214221048,23.0,56.5,Commercial,Não Informado,Starship Prototype,25.99,-97.16
Hybrid,2020,Kazakhstan,Ekspress-80 & Ekspress-103,30,0.0701815601737282,StatusActive,28.0,Roscosmos,10432.0,0,0.0,Success,1,7,Baikonur Cosmodrome,Não Informado,0.929818439826272,21.0,65.0,Civil,Não Informado,Proton-M/Briz-M,45.92,63.34
Não Informado,2020,Usa,Perseverance,30,0.0642689536665669,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,7,Florida,Não Informado,0.9357310463334332,11.0,145.0,Commercial,Não Informado,Atlas V 541,28.56,-80.58
Lox/Lh2,2020,China,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",25,0.0997908689026664,StatusActive,64.0,CASC,1905.0,0,1555.0,Success,1,7,Taiyuan Satellite Launch Center,Navigation/Gps,0.9002091310973337,3.0,64.68,Commercial,Meo,Long March 4B,38.84,111.6
Não Informado,2020,Kazakhstan,Progress MS-15,23,0.2115856318808721,StatusActive,28.0,Roscosmos,0.0,0,0.0,Success,1,7,Baikonur Cosmodrome,Não Informado,0.7884143681191277,14.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
Lox/Rp-1,2020,China,Tianwen-1,23,0.2352024560139883,StatusActive,64.0,CASC,11339.0,0,2632.0,Success,1,7,Wenchang Satellite Launch Center,Iot/Cubesat,0.7647975439860115,4.0,30.8,Commercial,Leo,Long March 5,19.61,110.95
Não Informado,2020,Usa,ANASIS-II,20,0.0513906466434989,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,7,Florida,Não Informado,0.9486093533565012,21.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Japan,Hope Mars Mission,19,0.1518203614376079,StatusActive,17.0,JAXA,0.0,0,0.0,Success,1,7,Tanegashima Space Center,Não Informado,0.8481796385623923,21.0,90.0,Civil,Não Informado,H-IIA 202,30.4,130.97
Lox/Rp-1,2020,Usa,NROL-129,15,0.3954254692474152,StatusActive,-3.0,Northrop,786.0,0,0.0,Success,1,7,Virginia,Não Informado,0.6045745307525848,13.0,46.0,Não Informado,Não Informado,Minotaur IV,37.83,-75.48
Não Informado,2020,China,"Jilin-1 02E, CentiSpace-1 S2",10,0.5483080625464053,StatusActive,-3.0,ExPace,0.0,0,0.0,Failure,0,7,Jiuquan Satellite Launch Center,Não Informado,0.4516919374535948,4.0,28.3,Não Informado,Não Informado,Kuaizhou 11,40.96,100.28
Lox/Rp-1,2020,China,Apstar-6D,9,0.5870111379969256,StatusActive,64.0,CASC,5216.0,0,2034.0,Success,0,7,Xichang Satellite Launch Center,Commercial Satellite,0.4129888620030745,12.0,29.15,Commercial,Geo,Long March 3B/E,28.24,102.02
Não Informado,2020,Israel,Ofek-16,6,0.2323854624911072,StatusActive,67.0,IAI,0.0,0,0.0,Success,1,7,Palmachim Airbase,Não Informado,0.7676145375088927,1.0,48.5,Military,Não Informado,Shavit-2,31.9,34.69
Lox/Lh2,2020,China,Shiyan-6 02,4,0.2384674422159363,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,7,Jiuquan Satellite Launch Center,Não Informado,0.7615325577840636,23.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
N2O4/Udmh,2020,New Zealand,Pics Or It Didn??¦t Happen,4,0.1671032742789025,StatusActive,14.0,Rocket Lab,136.0,1,0.0,Failure,1,7,M?Hia Peninsula,Não Informado,0.832896725721098,21.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Lox/Lh2,2020,China,Gaofen Duomo & BY-02,3,0.0997908689026664,StatusActive,64.0,CASC,1905.0,0,1555.0,Success,1,7,Taiyuan Satellite Launch Center,Navigation/Gps,0.9002091310973337,3.0,64.68,Commercial,Meo,Long March 4B,38.84,111.6
Não Informado,2020,Usa,GPS III SV03,30,0.0470807540738021,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,6,Florida,Não Informado,0.952919245926198,20.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2020,China,Beidou-3 G3,23,0.1595407062779546,StatusActive,64.0,CASC,5216.0,0,0.0,Success,1,6,Xichang Satellite Launch Center,Não Informado,0.8404592937220452,1.0,29.15,Commercial,Não Informado,Long March 3B/E,28.24,102.02
Lox/Lh2,2020,China,"Gaofen-9 03, Pixing III A & HEAD-5",17,0.3749132165813418,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,6,Jiuquan Satellite Launch Center,Não Informado,0.6250867834186581,7.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Não Informado,2020,Usa,Starlink V1 L8 & SkySat 16 to 18,13,0.0823128343709298,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,6,Florida,Não Informado,0.9176871656290704,9.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
N2O4/Udmh,2020,New Zealand,Don't stop me now!,13,0.1497154557656432,StatusActive,14.0,Rocket Lab,136.0,1,0.0,Success,1,6,M?Hia Peninsula,Não Informado,0.8502845442343568,5.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Lox/Rp-1,2020,China,Haiyang-1D,10,0.3769508709721821,StatusActive,64.0,CASC,1746.0,0,0.0,Success,1,6,Taiyuan Satellite Launch Center,Não Informado,0.6230491290278175,18.0,30.8,Commercial,Não Informado,Long March 2C,38.84,111.6
Não Informado,2020,Usa,Starlink V1 L7,4,0.0338854415995435,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,6,Florida,Não Informado,0.9661145584004568,1.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Lh2,2020,China,Gaofen-9-02 & HEAD-4,31,0.5548896312162764,StatusActive,64.0,CASC,1587.0,0,0.0,Success,0,5,Jiuquan Satellite Launch Center,Não Informado,0.4451103687837237,8.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Não Informado,2020,Usa,SpaceX Demo-2,30,0.0742364718743486,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,5,Florida,Não Informado,0.9257635281256514,19.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2020,China,XJS-G and XJS-H,29,0.2401672360933477,StatusActive,64.0,CASC,317.0,0,0.0,Success,1,5,Xichang Satellite Launch Center,Não Informado,0.7598327639066521,20.0,5.3,Commercial,Não Informado,Long March 11,28.24,102.02
Lox/Rp-1,2020,Usa,Demo Flight,25,0.8030435608956187,StatusActive,3.0,Virgin Orbit,226.0,0,0.0,Failure,0,5,California,Não Informado,0.1969564391043813,19.0,12.0,Commercial,Não Informado,LauncherOne,34.63,-120.61
Não Informado,2020,Russia,Cosmos 2546,22,0.1408425084248868,StatusActive,28.0,VKS RF,0.0,0,0.0,Success,1,5,Plesetsk Cosmodrome,Não Informado,0.859157491575113,7.0,41.8,Civil,Não Informado,Soyuz 2.1b/Fregat-M,62.93,40.57
Lox/Rp-1,2020,Japan,HTV-9,20,0.2313646940579215,StatusRetired,17.0,MHI,8618.0,0,0.0,Success,1,5,Tanegashima Space Center,Não Informado,0.7686353059420784,17.0,112.5,Civil,Não Informado,H-IIB,30.4,130.97
Não Informado,2020,Usa,OTV-6 (USSF-7),17,0.0734681755808381,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,5,Florida,Não Informado,0.9265318244191622,13.0,120.0,Commercial,Não Informado,Atlas V 501,28.56,-80.58
Não Informado,2020,China,Xingyun-2 01 (Wuhan) & 02,12,0.1524365684064591,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,5,Jiuquan Satellite Launch Center,Não Informado,0.8475634315935406,1.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,40.96,100.28
Não Informado,2020,China,Test Flight (New Crew Capsule),5,0.5380189279460452,StatusActive,64.0,CASC,0.0,0,0.0,Success,0,5,Wenchang Satellite Launch Center,Não Informado,0.4619810720539548,10.0,30.8,Commercial,Não Informado,Long March 5B,19.61,110.95
Não Informado,2020,Kazakhstan,Progress MS-14,25,0.0890313899087006,StatusActive,28.0,Roscosmos,0.0,0,0.0,Success,1,4,Baikonur Cosmodrome,Não Informado,0.9109686100912996,1.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
Não Informado,2020,Usa,Starlink V1 L6,22,0.061774148210715,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,4,Florida,Não Informado,0.9382258517892852,19.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Shahrud Missile Test Site,Noor 1,22,0.2769170714569789,StatusActive,-3.0,IRGC,0.0,0,0.0,Success,1,4,Launch Plateform,Não Informado,0.7230829285430211,3.0,48.5,Não Informado,Não Informado,Qased,34.9,121.19
Lox/Rp-1,2020,China,Nusantara Dua,9,0.610005755929609,StatusActive,64.0,CASC,5216.0,0,0.0,Failure,0,4,Xichang Satellite Launch Center,Não Informado,0.3899942440703912,11.0,29.15,Commercial,Não Informado,Long March 3B/E,28.24,102.02
Não Informado,2020,Kazakhstan,Soyuz MS-16,9,0.2184443490026135,StatusActive,28.0,Roscosmos,0.0,0,0.0,Success,1,4,Baikonur Cosmodrome,Não Informado,0.7815556509973867,8.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
Não Informado,2020,Usa,AEHF 6,26,0.0203603728046289,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,3,Florida,Não Informado,0.9796396271953712,20.0,153.0,Commercial,Não Informado,Atlas V 551,28.56,-80.58
Lox/Rp-1,2020,China,Yaogan-30-06,24,0.0995622037753648,StatusActive,64.0,CASC,1746.0,0,833.0,Success,1,3,Xichang Satellite Launch Center,Space Station Module,0.900437796224635,3.0,30.8,Commercial,Iss,Long March 2C,28.24,102.02
Não Informado,2020,Kazakhstan,OneWeb #3,21,0.2674257579967951,StatusActive,40.0,Arianespace,0.0,0,0.0,Success,1,3,Baikonur Cosmodrome,Não Informado,0.7325742420032048,17.0,48.5,Commercial,Não Informado,Soyuz 2.1b/Fregat,45.92,63.34
Não Informado,2020,Usa,Starlink V1 L5,18,0.080174520590669,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,3,Florida,Não Informado,0.9198254794093308,12.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Russia,Cosmos 2545,16,0.1599976039590391,StatusActive,28.0,VKS RF,0.0,0,0.0,Success,1,3,Plesetsk Cosmodrome,Não Informado,0.8400023960409609,18.0,41.8,Civil,Não Informado,Soyuz 2.1b/Fregat-M,62.93,40.57
Não Informado,2020,China,XJY-6,16,0.5339096211686237,StatusActive,64.0,CASC,0.0,0,0.0,Failure,0,3,Wenchang Satellite Launch Center,Não Informado,0.4660903788313763,13.0,30.8,Commercial,Não Informado,Long March 7A,19.61,110.95
Lox/Rp-1,2020,China,Beidou-3 G2,9,0.4554155127961956,StatusActive,64.0,CASC,5216.0,0,0.0,Success,1,3,Xichang Satellite Launch Center,Não Informado,0.5445844872038044,11.0,29.15,Commercial,Não Informado,Long March 3B/E,28.24,102.02
Não Informado,2020,Usa,CRS-20,7,0.0357133251823775,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,3,Florida,Não Informado,0.9642866748176226,4.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Russia,Meridian-M n†­19L,20,0.1169193493154134,StatusActive,28.0,VKS RF,0.0,0,0.0,Success,1,2,Plesetsk Cosmodrome,Não Informado,0.8830806506845865,8.0,48.5,Civil,Não Informado,Soyuz 2.1a/Fregat-M,62.93,40.57
Lox/Lh2,2020,China,XJS-C to F,19,0.2549920239965874,StatusActive,64.0,CASC,1587.0,0,921.0,Success,1,2,Xichang Satellite Launch Center,Rideshare,0.7450079760034126,21.0,29.75,Commercial,Sso,Long March 2D,28.24,102.02
Solid,2020,France,JCSAT-17 & GEO-KOMPSAT 2B,18,0.188839544895706,StatusActive,40.0,Arianespace,9525.0,0,0.0,Success,1,2,French Guiana,Não Informado,0.8111604551042937,22.0,200.0,Commercial,Não Informado,Ariane 5 ECA,5.24,-52.77
Não Informado,2020,Usa,Starlink V1 L4,17,0.0676461311564629,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,2,Florida,Não Informado,0.9323538688435372,15.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Usa,CRS NG-13,15,0.1201354537307849,StatusActive,-3.0,Northrop,0.0,0,0.0,Success,1,2,Virginia,Não Informado,0.8798645462692156,20.0,85.0,Não Informado,Não Informado,Antares 230+,37.83,-75.48
Não Informado,2020,Usa,Solar Orbiter,10,0.0280561180606395,StatusActive,14.0,ULA,0.0,0,0.0,Success,1,2,Florida,Não Informado,0.9719438819393604,4.0,115.0,Commercial,Não Informado,Atlas V 411,28.56,-80.58
N2O4/Udmh,2020,Iran,Zafar 1,9,0.8451996481566983,StatusActive,16.0,ISA,27.0,0,0.0,Failure,0,2,Semnan Space Center,Não Informado,0.1548003518433016,15.0,48.5,Civil,Não Informado,Simorgh,35.23,53.92
Não Informado,2020,Japan,IGS-Optical 7,9,0.0378499855654957,StatusActive,17.0,MHI,0.0,0,0.0,Success,1,2,Tanegashima Space Center,Não Informado,0.962150014434504,1.0,90.0,Civil,Não Informado,H-IIA 202,30.4,130.97
Não Informado,2020,Kazakhstan,OneWeb #2,6,0.1667025535710935,StatusActive,40.0,Arianespace,0.0,0,0.0,Success,1,2,Baikonur Cosmodrome,Não Informado,0.8332974464289064,21.0,48.5,Commercial,Não Informado,Soyuz 2.1b/Fregat,45.92,63.34
N2O4/Udmh,2020,New Zealand,Birds of a Feather / NROL-151,31,0.0860106579909206,StatusActive,14.0,Rocket Lab,136.0,1,0.0,Success,1,1,M?Hia Peninsula,Não Informado,0.9139893420090796,2.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Não Informado,2020,Usa,Starlink V1 L3,29,0.0902879998061595,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.9097120001938404,14.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2020,Usa,Crew Dragon Inflight Abort Test,19,0.064140464430191,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.9358595355698088,15.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Solid,2020,France,Eutelsat Konnect BB4A & GSAT-30,16,0.1648413969405358,StatusActive,40.0,Arianespace,9525.0,0,0.0,Success,1,1,French Guiana,Não Informado,0.8351586030594639,21.0,200.0,Commercial,Não Informado,Ariane 5 ECA,5.24,-52.77
Não Informado,2020,China,Yinhe-1,16,0.1525057083374752,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,1,Jiuquan Satellite Launch Center,Não Informado,0.8474942916625248,3.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,40.96,100.28
Lox/Lh2,2020,China,Jilin-1 Wideband 01 & ??uSat-7/8,15,0.0864254092262174,StatusActive,64.0,CASC,1587.0,0,0.0,Success,1,1,Taiyuan Satellite Launch Center,Não Informado,0.9135745907737824,2.0,29.75,Commercial,Não Informado,Long March 2D,38.84,111.6
Lox/Rp-1,2020,China,TJSW-5,7,0.3175492984870362,StatusActive,64.0,CASC,5216.0,0,2559.0,Success,1,1,Xichang Satellite Launch Center,Defense/Intelligence,0.6824507015129636,15.0,29.15,Commercial,Leo,Long March 3B/E,28.24,102.02
Não Informado,2020,Usa,Starlink V1 L2,7,0.0342902645209351,StatusActive,18.0,SpaceX,0.0,0,0.0,Success,1,1,Florida,Não Informado,0.9657097354790648,2.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2019,China,Shijian-20,27,0.1318784515436792,StatusActive,63.0,CASC,11339.0,0,0.0,Success,1,12,Wenchang Satellite Launch Center,Não Informado,0.8681215484563205,12.0,30.8,Commercial,Não Informado,Long March 5,19.61,110.95
Lox/Lh2,2019,Russia,"Gonets-M ???24, 25, 26 [block-15] & Blits-M1",26,0.2534413034486745,StatusRetired,27.0,VKS RF,884.0,0,804.0,Success,1,12,Plesetsk Cosmodrome,Navigation/Gps,0.7465586965513253,23.0,41.8,Civil,Geo,Rokot/Briz KM,62.93,40.57
Hybrid,2019,Kazakhstan,Elektro-L n†­3,24,0.0912437580937692,StatusActive,27.0,Roscosmos,10432.0,0,0.0,Success,1,12,Baikonur Cosmodrome,Não Informado,0.9087562419062306,12.0,65.0,Civil,Não Informado,Proton-M/DM-3,45.92,63.34
Não Informado,2019,Usa,Starliner OFT,20,0.0385025409996155,StatusActive,13.0,ULA,0.0,0,0.0,Success,1,12,Florida,Não Informado,0.9614974590003844,11.0,123.0,Commercial,Não Informado,Atlas V N22,28.56,-80.58
Lox/Lh2,2019,China,"CBERS-4A, ETRSS-1 & Others",20,0.0518862232086955,StatusActive,63.0,CASC,1905.0,0,0.0,Success,1,12,Taiyuan Satellite Launch Center,Não Informado,0.9481137767913048,3.0,64.68,Commercial,Não Informado,Long March 4B,38.84,111.6
Não Informado,2019,France,"CSG-1, CHEOPS & Others",18,0.0553459322714486,StatusActive,39.0,Arianespace,0.0,0,0.0,Success,1,12,French Guiana,Não Informado,0.9446540677285514,8.0,200.0,Commercial,Não Informado,Soyuz ST-A/Fregat-M,5.24,-52.77
Não Informado,2019,Usa,JCSAT-18 / Kacific-1,17,0.0390353623202294,StatusActive,17.0,SpaceX,0.0,0,0.0,Success,1,12,Florida,Não Informado,0.9609646376797704,0.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2019,China,BeiDou-3 M19 & M20,16,0.1019014226219763,StatusActive,63.0,CASC,5216.0,0,2945.0,Success,1,12,Xichang Satellite Launch Center,Commercial Satellite,0.8980985773780236,7.0,30.8,Commercial,Geo,Long March 3B/YZ-1,28.24,102.02
Lox/Rp-1,2019,Usa,NS-12,11,0.1276769132063931,StatusActive,19.0,Blue Origin,0.0,1,0.0,Success,1,12,Texas,Não Informado,0.872323086793607,17.0,48.5,Commercial,Não Informado,New Shepard,25.99,-97.16
Não Informado,2019,India,RISAT 2BR1,11,0.0762332083791303,StatusActive,50.0,ISRO,0.0,0,0.0,Success,1,12,Satish Dhawan Space Centre,Não Informado,0.9237667916208696,9.0,21.0,Civil,Não Informado,PSLV-QL,13.73,80.23
Não Informado,2019,Russia,Cosmos 2544,11,0.07824799723328,StatusActive,27.0,VKS RF,0.0,0,0.0,Success,1,12,Plesetsk Cosmodrome,Não Informado,0.92175200276672,8.0,48.5,Civil,Não Informado,Soyuz 2.1b/Fregat,62.93,40.57
Não Informado,2019,China,HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,7,0.1666296135756072,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,12,Jiuquan Satellite Launch Center,Não Informado,0.8333703864243929,8.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,40.96,100.28
Não Informado,2019,China,Jilin-1 Gaofen-02B,7,0.105689643847728,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,12,Taiyuan Satellite Launch Center,Não Informado,0.8943103561522718,2.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,38.84,111.6
Não Informado,2019,Kazakhstan,Progress MS-13 (74P),6,0.083894474282004,StatusActive,27.0,Roscosmos,0.0,0,0.0,Success,1,12,Baikonur Cosmodrome,Não Informado,0.916105525717996,9.0,48.5,Civil,Não Informado,Soyuz 2.1a,45.92,63.34
N2O4/Udmh,2019,New Zealand,Running Out Of Fingers,6,0.0933370686624599,StatusActive,13.0,Rocket Lab,136.0,1,0.0,Success,1,12,M?Hia Peninsula,Não Informado,0.9066629313375404,8.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Não Informado,2019,Usa,CRS-19,5,0.0406023580356054,StatusActive,17.0,SpaceX,0.0,0,0.0,Success,1,12,Florida,Não Informado,0.9593976419643944,17.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Não Informado,2019,China,Gaofen-12,27,0.1382268469936134,StatusActive,63.0,CASC,0.0,0,0.0,Success,1,11,Taiyuan Satellite Launch Center,Não Informado,0.8617731530063867,23.0,64.68,Commercial,Não Informado,Long March 4C,38.84,111.6
Não Informado,2019,India,Cartosat-3 & Rideshares,27,0.1682278485050691,StatusActive,50.0,ISRO,0.0,0,0.0,Success,1,11,Satish Dhawan Space Centre,Não Informado,0.8317721514949309,3.0,31.0,Civil,Não Informado,PSLV-XL,13.73,80.23
Solid,2019,France,Inmarsat 5 F5 & TIBA-1,26,0.0393704966019288,StatusActive,39.0,Arianespace,9525.0,0,0.0,Success,1,11,French Guiana,Não Informado,0.9606295033980712,21.0,200.0,Commercial,Não Informado,Ariane 5 ECA,5.24,-52.77
Não Informado,2019,Russia,Cosmos 2542 & 2543,25,0.1596517750799929,StatusActive,27.0,VKS RF,0.0,0,0.0,Success,1,11,Plesetsk Cosmodrome,Não Informado,0.8403482249200072,17.0,41.8,Civil,Não Informado,Soyuz 2.1v/Volga,62.93,40.57
Lox/Rp-1,2019,China,BeiDou-3 M21 & M22,23,0.0966428865543875,StatusActive,63.0,CASC,5216.0,0,2214.0,Success,1,11,Xichang Satellite Launch Center,Lunar,0.9033571134456122,0.0,30.8,Commercial,Interplanetary,Long March 3B/YZ-1,28.24,102.02
Não Informado,2019,China,"KL-Alpha A, KL-Alpha B",17,0.2756104468698696,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,11,Jiuquan Satellite Launch Center,Não Informado,0.7243895531301305,10.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,40.96,100.28
Não Informado,2019,China,Ningxia-1 (x5),13,0.1794074112187275,StatusActive,63.0,CASC,0.0,0,0.0,Success,1,11,Taiyuan Satellite Launch Center,Não Informado,0.8205925887812723,6.0,30.8,Commercial,Não Informado,Long March 6,38.84,111.6
Não Informado,2019,China,Jilin 1-02A,13,0.1626940813149448,StatusActive,-3.0,ExPace,0.0,0,0.0,Success,1,11,Jiuquan Satellite Launch Center,Não Informado,0.8373059186850553,3.0,28.3,Não Informado,Não Informado,Kuaizhou 1A,40.96,100.28
Não Informado,2019,Usa,Starlink V1 L1,11,0.0819808860221701,StatusActive,17.0,SpaceX,0.0,0,0.0,Success,1,11,Florida,Não Informado,0.91801911397783,14.0,50.0,Commercial,Não Informado,Falcon 9 Block 5,28.56,-80.58
Lox/Rp-1,2019,China,Beidou-3 IGSO-3,4,0.1423271911358978,StatusActive,63.0,CASC,5216.0,0,2214.0,Success,1,11,Xichang Satellite Launch Center,Lunar,0.857672808864102,17.0,29.15,Commercial,Interplanetary,Long March 3B/E,28.24,102.02
Lox/Lh2,2019,China,Gaofen-7,3,0.0614065199203306,StatusActive,63.0,CASC,1905.0,0,0.0,Success,1,11,Taiyuan Satellite Launch Center,Não Informado,0.9385934800796696,3.0,64.68,Commercial,Não Informado,Long March 4B,38.84,111.6
Não Informado,2019,Usa,CRS NG-12,2,0.1088735764221727,StatusActive,-3.0,Northrop,0.0,0,0.0,Success,1,11,Virginia,Não Informado,0.8911264235778275,13.0,85.0,Não Informado,Não Informado,Antares 230+,37.83,-75.48
Não Informado,2019,New Mexico,Launch 4,26,0.7862490985179127,StatusActive,-3.0,Exos,0.0,0,0.0,Failure,0,10,Spaceport America,Não Informado,0.2137509014820871,17.0,48.5,Não Informado,Não Informado,SARGE,32.99,-106.97
Lox/Rp-1,2019,China,TJSW-4,17,0.1682784961235899,StatusActive,63.0,CASC,5216.0,0,0.0,Success,1,10,Xichang Satellite Launch Center,Não Informado,0.8317215038764098,15.0,29.15,Commercial,Não Informado,Long March 3B/E,28.24,102.02
N2O4/Udmh,2019,New Zealand,As The Crow Flies,17,0.0619912152422324,StatusActive,13.0,Rocket Lab,136.0,1,0.0,Success,1,10,M?Hia Peninsula,Não Informado,0.9380087847577674,1.0,7.5,Commercial,Não Informado,Electron/Curie,0.0,0.0
Lox/Lh2,2019,Usa,ICON,11,0.0700179731803997,StatusActive,-3.0,Northrop,200.0,0,0.0,Success,1,10,Florida,Não Informado,0.9299820268196002,1.0,40.0,Não Informado,Não Informado,Pegasus XL,28.56,-80.58
Hybrid,2019,Kazakhstan,Eutelsat 5 West B & MEV-1,9,0.1818601420864616,StatusActive,27.0,ILS,10432.0,0,0.0,Success,1,10,Baikonur Cosmodrome,Não Informado,0.8181398579135384,10.0,65.0,Civil,Não Informado,Proton-M/Briz-M,45.92,63.34
Não Informado,2019,China,Gaofen 10 (Replacement),4,0.1893913591647823,StatusActive,63.0,CASC,0.0,0,0.0,Success,1,10,Taiyuan Satellite Launch Center,Não Informado,0.8106086408352173,18.0,64.68,Commercial,Não Informado,Long March 4C,38.84,111.6
Não Informado,2019,Russia,Cosmos 2541,26,0.1647271932326871,StatusActive,27.0,VKS RF,0.0,0,0.0,Success,1,9,Plesetsk Cosmodrome,Não Informado,0.835272806767313,7.0,48.5,Civil,Não Informado,Soyuz 2.1b/Fregat,62.93,40.57
Não Informado,2019,Kazakhstan,Soyuz MS-15 (61S),25,0.4423884244609176,StatusRetired,27.0,Roscosmos,0.0,0,0.0,Success,1,9,Baikonur Cosmodrome,Não Informado,0.5576115755390827,13.0,48.5,Civil,Não Informado,Soyuz FG,45.92,63.34
Lox/Lh2,2019,China,Yunhai-1-02,25,0.1406431219461014,StatusActive,63.0,CASC,1587.0,0,0.0,Success,1,9,Jiuquan Satellite Launch Center,Não Informado,0.8593568780538984,0.0,29.75,Commercial,Não Informado,Long March 2D,40.96,100.28
Lox/Rp-1,2019,Japan,HTV-8,24,0.2177353351136391,StatusRetired,16.0,MHI,8618.0,0,0.0,Success,1,9,Tanegashima Space Center,Não Informado,0.7822646648863608,16.0,112.5,Civil,Não Informado,H-IIB,30.4,130.97
Lox/Rp-1,2019,China,BeiDou-3 M23 & M24,22,0.1114807759123367,StatusActive,63.0,CASC,5216.0,0,1183.0,Success,1,9,Xichang Satellite Launch Center,Human Spaceflight,0.8885192240876632,21.0,30.8,Commercial,Iss,Long March 3B/YZ-1,28.24,102.02
Lox/Rp-1,2019,China,Zhuhai-1 Group 03,19,0.1642116603387067,StatusActive,63.0,CASC,317.0,0,0.0,Success,1,9,Jiuquan Satellite Launch Center,Não Informado,0.835788339661293,6.0,5.3,Commercial,Não Informado,Long March 11,40.96,100.28
