Data,Lancamentos_Reais,Previsao_IA,Previsao_Minima,Previsao_Maxima
1957-10-01,1.0,4.250573479227876,1.0762462076341217,7.3660162400559015
1957-11-01,1.0,3.205378655039899,0.1908755087862719,6.520724996509121
1957-12-01,1.0,4.927070555257506,1.837057182621058,8.278439934331981
1958-01-01,6.0,4.4307711518673845,1.3063952453539198,7.519821738966787
1958-02-01,2.0,3.510832041779553,0.12597060376927965,6.297072747229516
1958-03-01,3.0,3.6976926534131995,0.4920432628467544,6.72730422103512
1958-04-01,2.0,4.26328666366995,1.3225649997974693,7.645107085552955
1958-05-01,2.0,3.5231240842369442,0.30401278796642595,6.653443868986691
1958-06-01,1.0,4.432538455910872,1.289323432476759,7.359674347161397
1958-07-01,1.0,3.7596396510936696,0.6706595180491347,6.886238316689381
1958-08-01,2.0,3.966336312302118,0.7185789531193013,6.9951487990076435
1958-09-01,2.0,4.131426187839067,0.857612611470607,7.646734852338654
1958-10-01,3.0,4.402145743877935,1.1856884552376017,7.741961077007481
1958-11-01,1.0,3.70163398742219,0.29043944671441757,7.025243562933137
1958-12-01,3.0,5.556540304448893,2.5428857869519246,9.015365718569065
1959-01-01,1.0,4.69135073138875,1.237663631085131,7.860573294222878
1959-02-01,2.0,3.497630846082013,0.4844984481134361,6.658228190860669
1959-04-01,2.0,5.002611894175819,1.8878962574837106,8.141129746121692
1959-06-01,4.0,4.745356624782666,1.591708057123634,7.762185309873496
1959-08-01,3.0,4.175972027181227,1.1004700641388658,7.255569759939652
1959-09-01,4.0,4.536929590742179,1.1014630431238461,7.668121855329845
1959-10-01,1.0,4.557673316863561,1.4274978188560257,7.5968719639361435
1959-11-01,3.0,4.204322829152013,1.0236119364625786,7.368727288204847
1960-01-01,1.0,4.940228114706799,1.6935052005015823,8.124627412891682
1960-02-01,3.0,3.4808653341160563,0.3317071852665545,6.751618806343558
1960-03-01,1.0,4.837000007429768,1.4319044605957094,8.062281119708556
1960-04-01,4.0,4.071083266273677,0.9038737128046498,7.262710489818508
1960-05-01,3.0,3.7282927674182584,0.7751860458927093,6.862007366532821
1960-06-01,2.0,5.039793541825312,1.928409463746972,8.445548603163301
1960-07-01,2.0,4.904906615389454,1.6456652588014142,8.258672983119428
1960-08-01,5.0,4.820832599394437,1.521243583762882,8.022775582299861
1960-09-01,2.0,4.587886965853012,1.4737998369567762,7.957781225060449
1960-10-01,5.0,5.363873571472931,2.3069780576211603,8.50927706468694
1960-11-01,4.0,3.9768557948333934,0.7925187578919523,7.203846616370224
1960-12-01,7.0,5.552721891871181,2.2502947840255594,8.920667657092386
1961-01-01,2.0,5.419417568111494,2.096925482058923,8.513380101027494
1961-02-01,7.0,4.780989314119401,1.6024374761898381,7.8498971173667424
1961-03-01,5.0,4.89178480494935,1.8218929904204342,8.223127633972416
1961-04-01,3.0,4.793294720282213,1.7873487423366066,7.875316897763453
1961-05-01,1.0,4.25897053718524,1.0236248166639315,7.500936019937761
1961-06-01,4.0,5.371354932620153,2.2033436632717622,8.498762414175658
1961-07-01,5.0,4.964276888775707,1.72143342802675,8.296801810937911
